u,v,time
Kalkaji Mandir (Voilet line),Govind Puri (Voilet line),1.9
Govind Puri (Voilet line),Harkesh Nagar Okhla (Voilet line),2.6166666666666667
Harkesh Nagar Okhla (Voilet line),Jasola-Apollo (Voilet line),2.216666666666667
Jasola-Apollo (Voilet line),Sarita Vihar (Voilet line),2.2
Sarita Vihar (Voilet line),Mohan Estate (Voilet line),2.183333333333333
Mohan Estate (Voilet line),Tughlakabad (Voilet line),3.0
Tughlakabad (Voilet line),Badarpur Border (Voilet line),3.0
Badarpur Border (Voilet line),Sarai (Voilet line),2.6833333333333336
Sarai (Voilet line),NHPC Chowk (Voilet line),3.0166666666666666
NHPC Chowk (Voilet line),Mewala Maharajpur (Voilet line),1.9166666666666665
Mewala Maharajpur (Voilet line),Sector-28 (Voilet line),2.033333333333333
Sector-28 (Voilet line),Badkal Mor (Voilet line),2.4
Badkal Mor (Voilet line),Old Faridabad (Voilet line),2.2333333333333334
Old Faridabad (Voilet line),Neelam Chowk Ajronda (Voilet line),2.2333333333333334
Neelam Chowk Ajronda (Voilet line),Bata Chowk (Voilet line),2.1666666666666665
Bata Chowk (Voilet line),Escorts Mujesar (Voilet line),2.3333333333333335
Escorts Mujesar (Voilet line),Sant Surdas (Sihi) (Voilet line),3.0
Sant Surdas (Sihi) (Voilet line),Raja Nahar Singh (Voilet line),3.0
Samaypur Badli (First Station) (Yellow line),Rohini Sector-18 19 (Yellow line),3.0
Rohini Sector-18 19 (Yellow line),Haiderpur Badli Mor (Yellow line),3.0
Haiderpur Badli Mor (Yellow line),Jahangirpuri (Yellow line),2.1666666666666665
Jahangirpuri (Yellow line),Adarsh Nagar (Yellow line),2.033333333333333
Adarsh Nagar (Yellow line),Azadpur (Yellow line),2.216666666666667
Azadpur (Yellow line),Model Town (Yellow line),2.216666666666667
Model Town (Yellow line),Guru Teg Bahadur Nagar (Yellow line),2.2666666666666666
Guru Teg Bahadur Nagar (Yellow line),Vishwavidyalaya (Yellow line),2.0166666666666666
Vishwavidyalaya (Yellow line),Vidhan Sabha (Yellow line),2.2
Vidhan Sabha (Yellow line),Civil Lines (Yellow line),2.2333333333333334
Civil Lines (Yellow line),Kashmere Gate (Yellow line),2.35
Kashmere Gate (Yellow line),Chandni Chowk (Yellow line),2.2666666666666666
Chandni Chowk (Yellow line),Chawri Bazar (Yellow line),2.216666666666667
Chawri Bazar (Yellow line),New Delhi (Yellow line),3.0
New Delhi (Yellow line),Rajiv Chowk (Yellow line),3.0
Rajiv Chowk (Yellow line),Patel Chowk (Yellow line),2.2666666666666666
Patel Chowk (Yellow line),Central Secretariat (Yellow line),1.9166666666666665
Central Secretariat (Yellow line),Udyog Bhawan (Yellow line),3.0
Udyog Bhawan (Yellow line),Lok Kalyan Marg (Yellow line),3.0
Lok Kalyan Marg (Yellow line),Jor Bagh (Yellow line),2.283333333333333
Jor Bagh (Yellow line),Dilli Haat-INA (Yellow line),3.0
Dilli Haat-INA (Yellow line),AIIMS (Yellow line),3.0
AIIMS (Yellow line),Green Park (Yellow line),2.25
Green Park (Yellow line),Hauz Khas (Yellow line),2.5833333333333335
Hauz Khas (Yellow line),Malviya Nagar (Yellow line),2.6666666666666665
Malviya Nagar (Yellow line),Saket (Yellow line),2.35
Saket (Yellow line),Qutab Minar (Yellow line),2.75
Qutab Minar (Yellow line),Chhattarpur (Yellow line),3.0
Chhattarpur (Yellow line),Sultanpur (Yellow line),3.0
Sultanpur (Yellow line),Ghitorni (Yellow line),2.1166666666666667
Ghitorni (Yellow line),Arjan Garh (Yellow line),3.2333333333333334
Arjan Garh (Yellow line),Guru Dronacharya (Yellow line),3.3
Guru Dronacharya (Yellow line),Sikanderpur (Yellow line),1.8666666666666667
Sikanderpur (Yellow line),M.G. Road (Yellow line),2.216666666666667
M.G. Road (Yellow line),IFFCO Chowk (Yellow line),2.45
IFFCO Chowk (Yellow line),Millennium City Centre Gurugram (Yellow line),2.3
